------------------------------------------------------------------------------------
Date: 6/18/2025 -- 05:51:57 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 2234
decoder.bytes                                 | Total                     | 166508
decoder.ipv4                                  | Total                     | 2217
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 2234
decoder.arp                                   | Total                     | 16
decoder.tcp                                   | Total                     | 2217
tcp.syn                                       | Total                     | 1154
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 1000
decoder.icmpv6                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 74
decoder.max_pkt_size                          | Total                     | 1578
flow.total                                    | Total                     | 1155
flow.tcp                                      | Total                     | 1154
flow.icmpv6                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 4
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4
flow.wrk.flows_evicted                        | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 4
tcp.sessions                                  | Total                     | 1154
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 1153
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 11
tcp.segment_from_pool                         | Total                     | 7
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.telnet                         | Total                     | 2
flow.end.state.new                            | Total                     | 151
flow.end.state.closed                         | Total                     | 1004
flow.end.tcp_state.syn_sent                   | Total                     | 150
flow.end.tcp_state.closed                     | Total                     | 1004
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 1150
flow.recycler.queue_avg                       | Total                     | 34
flow.recycler.queue_max                       | Total                     | 675
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 6/18/2025 -- 05:52:47 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 2234
decoder.bytes                                 | Total                     | 166508
decoder.ipv4                                  | Total                     | 2217
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 2234
decoder.arp                                   | Total                     | 16
decoder.tcp                                   | Total                     | 2217
tcp.syn                                       | Total                     | 1154
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 1000
decoder.icmpv6                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 74
decoder.max_pkt_size                          | Total                     | 1578
flow.total                                    | Total                     | 1155
flow.tcp                                      | Total                     | 1154
flow.icmpv6                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 4
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4
flow.wrk.flows_evicted                        | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 4
tcp.sessions                                  | Total                     | 1154
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 1153
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 13
tcp.segment_from_pool                         | Total                     | 5
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.telnet                         | Total                     | 2
flow.end.state.new                            | Total                     | 151
flow.end.state.closed                         | Total                     | 1004
flow.end.tcp_state.syn_sent                   | Total                     | 150
flow.end.tcp_state.closed                     | Total                     | 1004
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 13
flow.mgr.flows_notimeout                      | Total                     | 13
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 1150
flow.recycler.queue_avg                       | Total                     | 23
flow.recycler.queue_max                       | Total                     | 875
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 6/18/2025 -- 05:53:28 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 2234
decoder.bytes                                 | Total                     | 166508
decoder.ipv4                                  | Total                     | 2217
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 2234
decoder.arp                                   | Total                     | 16
decoder.tcp                                   | Total                     | 2217
tcp.syn                                       | Total                     | 1154
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 1000
decoder.icmpv6                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 74
decoder.max_pkt_size                          | Total                     | 1578
flow.total                                    | Total                     | 1155
flow.tcp                                      | Total                     | 1154
flow.icmpv6                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 4
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4
flow.wrk.flows_evicted                        | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 4
tcp.sessions                                  | Total                     | 1154
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 1153
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 8
tcp.segment_from_pool                         | Total                     | 10
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.telnet                         | Total                     | 2
flow.end.state.new                            | Total                     | 151
flow.end.state.closed                         | Total                     | 1004
flow.end.tcp_state.syn_sent                   | Total                     | 150
flow.end.tcp_state.closed                     | Total                     | 1004
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9700
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 6
flow.mgr.flows_notimeout                      | Total                     | 6
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 1150
flow.recycler.queue_avg                       | Total                     | 26
flow.recycler.queue_max                       | Total                     | 850
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 6/18/2025 -- 05:55:20 (uptime: 0d, 00h 00m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 2234
decoder.bytes                                 | Total                     | 166508
decoder.ipv4                                  | Total                     | 2217
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 2234
decoder.arp                                   | Total                     | 16
decoder.tcp                                   | Total                     | 2217
tcp.syn                                       | Total                     | 1154
tcp.synack                                    | Total                     | 6
tcp.rst                                       | Total                     | 1000
decoder.icmpv6                                | Total                     | 1
decoder.avg_pkt_size                          | Total                     | 74
decoder.max_pkt_size                          | Total                     | 1578
flow.total                                    | Total                     | 1155
flow.tcp                                      | Total                     | 1154
flow.icmpv6                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 5
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5
flow.wrk.flows_injected                       | Total                     | 5
tcp.sessions                                  | Total                     | 1154
tcp.ssn_from_pool                             | Total                     | 1154
tcp.pseudo                                    | Total                     | 4
tcp.segment_from_cache                        | Total                     | 11
tcp.segment_from_pool                         | Total                     | 7
detect.alert                                  | Total                     | 2
app_layer.flow.ssh                            | Total                     | 2
app_layer.flow.telnet                         | Total                     | 2
flow.end.state.new                            | Total                     | 151
flow.end.state.closed                         | Total                     | 1004
flow.end.tcp_state.syn_sent                   | Total                     | 150
flow.end.tcp_state.closed                     | Total                     | 1004
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 1150
flow.recycler.queue_avg                       | Total                     | 23
flow.recycler.queue_max                       | Total                     | 850
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
