------------------------------------------------------------------------------------
Date: 6/21/2025 -- 08:08:57 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1026
decoder.bytes                                 | Total                     | 151460
decoder.ipv4                                  | Total                     | 1020
decoder.ethernet                              | Total                     | 1026
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 940
tcp.syn                                       | Total                     | 86
tcp.synack                                    | Total                     | 86
decoder.icmpv4                                | Total                     | 80
decoder.avg_pkt_size                          | Total                     | 147
decoder.max_pkt_size                          | Total                     | 916
flow.total                                    | Total                     | 44
flow.tcp                                      | Total                     | 43
flow.icmpv4                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 2
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4
flow.wrk.flows_injected                       | Total                     | 2
tcp.sessions                                  | Total                     | 43
tcp.ssn_from_pool                             | Total                     | 43
tcp.segment_from_cache                        | Total                     | 165
tcp.segment_from_pool                         | Total                     | 55
tcp.overlap                                   | Total                     | 110
detect.alert                                  | Total                     | 40
app_layer.flow.http                           | Total                     | 41
app_layer.tx.http                             | Total                     | 41
app_layer.flow.smtp                           | Total                     | 2
app_layer.tx.smtp                             | Total                     | 4
flow.end.state.established                    | Total                     | 1
flow.end.state.closed                         | Total                     | 43
flow.end.tcp_state.closed                     | Total                     | 43
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9800
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 42
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 6/21/2025 -- 08:09:26 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1026
decoder.bytes                                 | Total                     | 151460
decoder.ipv4                                  | Total                     | 1020
decoder.ethernet                              | Total                     | 1026
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 940
tcp.syn                                       | Total                     | 86
tcp.synack                                    | Total                     | 86
decoder.icmpv4                                | Total                     | 80
decoder.avg_pkt_size                          | Total                     | 147
decoder.max_pkt_size                          | Total                     | 916
flow.total                                    | Total                     | 44
flow.tcp                                      | Total                     | 43
flow.icmpv4                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 2
flow.wrk.flows_evicted_pkt_inject             | Total                     | 4
flow.wrk.flows_injected                       | Total                     | 2
tcp.sessions                                  | Total                     | 43
tcp.ssn_from_pool                             | Total                     | 43
tcp.segment_from_cache                        | Total                     | 165
tcp.segment_from_pool                         | Total                     | 55
tcp.overlap                                   | Total                     | 110
detect.alert                                  | Total                     | 40
app_layer.flow.http                           | Total                     | 41
app_layer.tx.http                             | Total                     | 41
app_layer.flow.smtp                           | Total                     | 2
app_layer.tx.smtp                             | Total                     | 4
flow.end.state.established                    | Total                     | 1
flow.end.state.closed                         | Total                     | 43
flow.end.tcp_state.closed                     | Total                     | 43
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10000
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 42
flow.recycler.queue_max                       | Total                     | 25
tcp.memuse                                    | Total                     | 1245184
tcp.reassembly_memuse                         | Total                     | 229376
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 6/21/2025 -- 08:09:42 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1026
decoder.bytes                                 | Total                     | 151460
decoder.ipv4                                  | Total                     | 1020
decoder.ethernet                              | Total                     | 1026
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 940
tcp.syn                                       | Total                     | 86
tcp.synack                                    | Total                     | 86
decoder.icmpv4                                | Total                     | 80
decoder.avg_pkt_size                          | Total                     | 147
decoder.max_pkt_size                          | Total                     | 916
flow.total                                    | Total                     | 44
flow.tcp                                      | Total                     | 43
flow.icmpv4                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 2
